Name,Age,Push-Ups,Sit-Ups,2.4-Km-Run
Elizabeth Gonzalez,52,55,60,569
Anthony Weiss,46,40,79,1184
Ryan Clark,22,64,28,592
Laura Spencer,58,20,42,1041
Sonya Reynolds,31,62,41,1179
Ashley Powell,30,46,73,609
Kirsten Jacobson,51,54,57,586
Miguel Smith,24,9,2,715
Luis Castaneda,32,24,19,1180
Melissa Williams,43,8,80,1237
Mrs. Monica Long,37,27,26,663
Kimberly Rodriguez,20,8,73,696
Kristen Burke,52,58,44,1106
Scott Floyd,23,63,61,1037
John Nelson,53,33,69,524
Kyle Mclean,39,54,39,1262
James Cortez,19,44,4,1152
Christopher Bell,18,29,50,992
Justin Vargas,40,69,62,1139
Chelsea Woods,53,12,42,752
Adam Martin,59,62,4,720
Todd Fernandez,52,39,54,678
Jacob Hall,36,69,5,824
Mark Cruz,18,64,41,569
Barbara Santos,58,6,16,1173
Linda Garcia,37,72,11,451
Denise Bennett,52,57,63,768
Teresa Hill,38,74,13,577
Eric Jones,26,5,79,644
Matthew Parker,59,16,30,827
Jeffrey Walker,39,69,78,955
Russell Landry,37,77,47,782
Craig Knight,31,18,12,882
Kimberly Juarez,54,51,16,816
Edward Johnson,36,14,44,1188
Deanna Bowers,39,29,31,576
Andrew Hanson,35,74,12,777
Christina Morales,27,3,69,1092
Francisco Haynes,42,7,74,1024
Steve Matthews,33,77,40,642
Kevin Gonzalez,51,36,16,593
David Cox,42,20,5,935
Kelly Taylor,33,10,38,1297
Anthony Bowman,38,18,5,507
Timothy Williams,23,34,78,1214
Ashley Jackson,35,67,66,825
Anthony Hill,44,79,8,661
Sarah Davis,56,4,19,741
Emily Walsh,24,72,59,929
Theresa Mitchell,31,66,30,780
Justin Lee,39,33,56,1268
Shannon Tate,48,1,7,786
Ian Armstrong,27,25,74,523
Scott Gallegos,59,4,56,794
Denise Sullivan,44,36,13,579
Jennifer Bowman,29,49,29,464
Russell Reyes,51,9,72,1217
Terri Shaw,60,56,31,800
Ashley Cunningham,30,31,64,1102
Amber Mitchell,56,56,78,1247
Melissa Juarez,25,20,15,943
Suzanne Martinez MD,21,58,74,1013
Gloria Smith,47,7,46,1156
Jasmine Mccoy,30,18,73,1229
Rebecca Martinez,55,13,37,496
Lori Colon,45,22,48,692
Taylor Oliver,53,25,22,696
Jerry Powell,31,12,65,955
Angela Roach,21,37,56,998
Tiffany Brown,44,35,11,824
Nancy Stanton,56,5,68,897
Diana Hopkins,18,49,64,984
Gary Fox,35,63,60,733
Autumn Kline,52,23,54,745
Crystal Alvarado,58,49,7,1267
Tina Brandt,38,62,25,1137
Noah Solomon,46,61,36,861
Jeffrey Malone,55,70,55,1084
Aaron Jones,37,70,29,1085
Marcus Johnson,40,53,71,1258
Sara Orozco,41,45,28,908
Sara Young,54,35,61,1300
James Jones,36,77,78,1054
Daniel Conway,56,65,9,469
Brian Barrera,55,29,63,1045
Nicole White,23,79,5,742
Leah Edwards,59,6,28,509
Nicole Jones,32,7,0,1154
Lori Cook,24,34,73,885
Holly Parks,58,61,73,661
Frederick Salinas,36,29,37,620
Deborah Clark,39,18,36,1107
Brendan Ryan,30,39,61,1298
Michael Schaefer,40,4,29,732
Thomas Harper,58,80,73,1240
Rachel Walls,24,17,8,807
Valerie Rosales,32,23,72,755
Sarah Cook,53,26,1,781
Kelly Castro,36,57,18,1093
Richard Bishop,38,78,42,764
Andrew Farley,19,11,43,1000
Joseph Banks,23,65,50,706
Richard Lopez,48,47,73,783
Erik Diaz,47,38,57,1292
Steven Freeman,46,77,26,1122
Kenneth Joyce,27,19,47,1217
Samantha Warren,34,61,79,1287
David Willis,20,51,37,1102
Mary Thompson,29,46,71,847
Raymond Anderson,44,22,23,885
Michelle Roberts,35,35,47,1051
William Garcia,42,41,71,782
Benjamin Owen,58,15,7,1016
Phillip Sanchez,25,58,8,679
Adam Sherman,40,4,72,512
Eric Silva,42,15,17,1165
Daniel Ellis,46,13,3,567
Alex Miller,20,14,28,1236
James Smith,56,0,10,829
Robert White,20,40,61,1200
Troy Durham,57,18,53,842
Kim Graves,52,80,72,843
Amanda Bell,51,55,67,816
Jimmy Whitney,43,57,74,1251
Rick Warren,34,35,33,1190
Martin Campos,24,6,20,1101
Diane Cox,28,9,9,638
James Gregory,26,23,10,1185
Matthew Hart,54,74,12,1063
Jennifer Young,52,27,13,1219
Cindy Turner,26,47,43,907
Michael Fry DDS,55,16,23,1147
Kevin Sanchez,23,10,80,1073
Samuel Peterson,60,9,16,1246
Dawn Cruz,46,25,31,1044
Stephen Wilson,51,31,20,1180
Samuel Lopez,41,74,6,589
Kathy Martin,56,48,34,782
Michelle Smith,37,49,6,1083
Erin Zavala,43,16,70,473
Richard Mercer,44,76,37,791
Whitney George,39,22,23,502
Tony Armstrong,59,46,26,804
Madeline Marks,24,67,40,1180
Kimberly Schneider,20,56,66,1236
Christopher Tucker,53,54,72,1196
Peter Hall,20,64,53,585
Denise Williams,46,7,61,913
Justin Adams,39,80,18,1273
Steven Garcia,49,78,78,963
Brittany Whitehead,36,74,14,885
Alicia George,56,65,41,466
Amanda Hanson,31,60,58,822
Shaun Cole,44,20,78,799
Parker Brown,38,23,78,1268
Sharon Rodriguez,34,4,9,1260
Joshua Walker,39,46,70,1275
Tony Francis,34,14,34,580
Daniel Rivera,54,62,7,540
Jason Park,26,18,29,1127
Sarah Morse,42,14,57,720
Stephanie Smith,23,7,48,1083
Brandon Boyd,43,32,14,844
Alexis Santos,53,51,61,1137
Jessica Jones,44,70,34,934
Cindy Miller,54,30,69,1205
Dr. Richard Weber,55,38,0,1040
Tammy Hobbs,50,48,66,657
Mr. Javier Williams,21,31,7,860
Ricky Cole,31,9,42,978
Gene Gray,26,41,74,763
Michelle Travis,20,71,67,1219
John Smith,23,42,69,1253
John Larsen,41,6,28,769
Nancy Turner,47,39,54,734
Deborah Clark,35,33,45,794
Jenna Johnson,60,19,77,1150
Tara Cummings,39,29,2,839
Bonnie Baxter,20,23,36,575
Tara Porter,23,35,1,1051
Joy Welch,44,58,8,961
John Bates,41,23,20,1088
Traci Adams,38,2,49,899
Christopher Hubbard,50,1,45,1174
James Williams,25,66,55,1277
Haley Ellis,54,52,42,1128
Betty Harris,21,10,19,793
Matthew Wright,48,66,25,751
Jeremy Love,38,47,15,1053
Colin Long,26,19,79,1157
Kevin Ware,26,13,78,1191
Kristen Esparza,50,65,21,548
Kathleen Obrien,46,2,76,1201
Stephanie Ruiz,54,16,3,596
Jennifer Ross,55,51,18,1127
Melissa Acosta,48,30,54,822
James Mendoza,43,33,8,646
Jacqueline Wong,46,25,13,1048
Maria Hughes,27,73,78,553
Nicole Phillips,41,23,53,637
Brad Moore,28,41,27,742
Michael Frey,49,39,21,1295
Michael Vaughn,44,21,31,1194
Jamie Phillips,43,65,29,670
Nicole Hall,30,70,65,834
Amanda Cowan,58,70,61,1143
Andrew Sandoval,57,78,13,1157
April Allen,22,35,69,801
Andrew Myers,27,60,0,1060
Kayla Alvarez MD,51,38,67,762
Arthur Cruz,26,5,77,801
Nicholas Thomas,43,24,13,826
Karen Pope,27,42,71,816
Laura Rush,60,21,3,919
Dennis Parker,34,24,37,534
Jennifer Daniel,31,74,64,1113
Nicole Rodgers,38,64,31,641
Emily Williams,20,68,48,1245
Jessica Logan,26,23,56,1236
Amy Cummings,49,1,39,1273
Carla Key,37,43,24,1208
James Hughes DDS,58,10,27,712
Dawn Rivera,37,51,80,571
Christian Gross,35,22,73,538
Eric Sanchez,24,26,7,1265
Gerald Robinson,28,55,41,816
Belinda Taylor,39,3,72,1184
Jody Pope,37,38,64,922
Brooke Burke,43,37,68,1034
Frank Harrington,53,76,52,1050
Susan Joseph,59,12,57,1069
Pamela Maynard,18,10,2,513
Raymond Rodriguez,50,54,1,1063
Stephen Bailey,42,71,40,864
David Alvarez,50,11,62,1221
Brittany Brown,38,67,39,763
Kathryn Nelson,26,68,3,779
Adam Frey,58,74,34,1196
Brian Mccoy,37,13,76,732
Andrea Meadows,32,16,17,1082
Mark Cannon,43,80,51,579
Amanda Peterson,29,50,42,576
Tom Fisher,51,48,0,792
Felicia King,43,60,59,677
Jessica Bernard,36,52,64,719
Michelle Rodgers,50,32,23,754
Valerie Jordan,19,47,59,1022
Gina Silva,40,8,38,509
Debra Chambers,36,50,10,924
Kelly Diaz,56,1,5,914
Ms. Carol Gallagher,49,51,23,1196
Tiffany Flores,46,36,51,1272
David Harris,50,17,18,638
Dawn Malone,23,24,8,1177
Anthony Mclaughlin,44,49,63,1089
Stephanie Mcconnell,53,59,22,588
Aaron Hill,35,63,20,1143
Michael Blackwell,52,24,55,952
Nathan Bartlett,45,76,0,707
Cynthia Gonzalez,33,13,79,646
Nicole Jackson,27,19,30,1280
Erin Johnson,50,17,31,667
Bobby Hammond,47,18,7,1099
Jeremy Davis,57,46,74,755
Blake Bailey,20,49,41,566
Robin Mercer,33,8,11,1174
Catherine Turner,32,2,60,667
Thomas Parker,58,9,9,595
Rachel Ward,53,2,16,1189
Andrea Wheeler,43,27,49,980
Christopher Dixon,36,34,21,674
Kelly King,58,24,52,1244
Justin Aguirre,18,76,4,1029
Brett Nolan,56,43,75,909
Sandra Green,60,54,8,1227
Andrew Flores,33,20,27,977
Dorothy Turner,56,20,61,967
Katherine Fernandez,58,80,44,981
Tonya Pollard,36,9,77,538
Nancy Johnson,42,20,79,1066
Scott Nguyen,58,32,67,685
Amy Sutton,36,48,33,987
Virginia Garcia,43,59,4,582
Michael Mclean,38,71,28,885
Austin Elliott,39,67,0,727
Justin Reyes,54,69,63,1034
Ryan Alvarez,21,5,32,969
Mario Mercer,49,52,58,465
Rebecca Cole,30,42,12,574
Brian Green,18,29,71,610
Andrew Baldwin,31,10,77,1144
Kathleen Becker,30,31,64,877
Mrs. Mary Hill,58,3,78,1081
Jason Gutierrez,30,3,9,497
Jeremy Schmitt,46,19,0,627
Katherine Pearson,52,42,47,1210
John Cross,27,77,21,679
Jocelyn Orr,28,47,58,771
Jesse Mckee,19,35,56,825
William Blackburn,25,60,53,701
Kenneth Jones,30,62,50,533
Mark Gallagher,19,74,36,709
Jennifer Martinez,18,71,76,533
Christopher Potter,55,47,12,834
Christina Michael,60,8,4,856
Sherri Esparza,30,72,32,871
Dylan Green,43,28,33,884
Tonya Burns,57,45,53,601
Thomas Waller,25,75,4,894
Justin Rodriguez,32,36,4,781
Jane Thompson,52,3,70,1213
Julie Johnson,45,33,45,635
Caitlin Sanders,35,6,1,1297
Jessica Foster,27,8,78,935
Christopher Lucas,49,12,40,768
Tammy Hernandez,47,63,22,749
Kimberly Campbell,23,74,56,530
Jason Woods,28,75,36,646
Justin Hamilton,38,45,11,908
Tristan Gonzalez,59,58,34,491
Kristen Powers,44,30,10,741
Joel White,32,21,8,1220
Linda Chase,42,76,33,644
Sabrina Alexander,53,75,21,1184
John Morris,59,27,16,1281
Victoria Simpson,51,14,61,691
Cheryl Flynn,43,23,24,724
Corey Evans,21,52,20,712
Kathryn Miller,26,54,64,559
Jose Riley,56,57,52,1144
John Torres MD,38,44,7,1126
Dustin Alexander,18,67,79,777
Wendy Dixon,18,24,44,1104
Joseph Rios,20,43,74,563
Katie Bennett,20,26,23,1139
Samantha Ramirez,48,28,22,956
Rebecca Smith,51,26,10,469
Ryan Robinson,18,57,73,1067
Daniel Sharp,44,47,35,760
Andrew Ward,31,56,71,818
Jonathan Cook,22,26,4,901
Arthur Soto,29,20,10,729
Jeffrey Riddle,47,31,61,1255
Andrea Morales MD,33,2,3,1281
Shane Bowman,24,10,7,760
Michael Newton,43,67,35,483
Hayden Hansen,29,80,35,868
Pamela Gray,60,1,4,1077
Charles Alexander,26,59,7,1143
Jeffrey Winters,53,5,61,622
Tasha Cantrell,20,71,35,518
Natasha Williams,58,4,48,551
Tommy Rich,31,17,30,1294
Terry Cannon,27,53,79,1133
Arthur Harper MD,37,61,51,879
Ruth Kramer,41,70,31,501
Barry Davis,60,7,23,646
Lisa Moore,28,21,67,1037
Nichole Smith,53,61,70,612
Charles Johnson,28,13,32,690
Heidi Hatfield,49,53,9,525
Stephen Ramirez,32,25,70,655
Joseph Johnson,44,5,76,633
Kristina Johnson,21,32,51,955
Ashley Mejia,45,12,0,715
Edward White,25,42,19,1240
Mrs. Debra Hernandez MD,45,68,67,1038
Melissa Cruz,46,15,70,625
Michael Munoz,26,43,2,996
Charles Strickland,23,25,20,822
Brianna Carter,46,67,28,1067
Martha Simon,44,1,15,492
Matthew Phillips,33,9,0,1177
Charles Hart,57,40,58,906
William Washington,39,2,70,1156
Joseph Thompson,41,9,56,1057
William Briggs,44,61,5,1172
Patricia Bryant,22,52,77,657
Christine Hobbs,41,21,2,531
Lindsey Smith,44,53,8,649
Alan Mason,34,42,23,492
Joshua Chavez,29,57,61,1234
Timothy Andersen,52,35,33,719
Melissa Edwards,31,70,32,1199
Russell Murray,26,69,4,531
David Martin,36,3,78,578
Anthony Mathews,46,33,62,502
Shawn Green,22,40,12,605
Chad Chapman,31,3,61,1009
Christopher Diaz,60,37,4,791
Bradley Jennings,55,57,19,498
Melissa Oliver,37,14,19,583
Regina Fisher,58,15,71,973
George Collins,18,21,4,857
Stephanie Moran,36,45,4,755
Ashley Boone,58,12,48,748
Richard Tran,46,52,64,1164
Catherine Fields,52,68,38,992
Ruth Gallegos,34,10,7,747
Steven Thornton,60,50,21,560
Ronald Davis,49,77,25,886
Hannah Christian,27,46,75,1061
Ashley Bell,59,53,22,1228
Taylor Wilson,54,12,13,848
Robert Perez,26,6,12,719
Noah Lyons,52,43,64,625
Mr. Joseph Miranda,38,39,31,1097
John Townsend,23,26,7,1113
Michelle Walker,49,25,64,510
Stephanie Reeves,24,50,68,572
Jose Daniels,45,20,57,803
Kristina Malone,29,65,49,698
Mary Alexander,60,31,24,743
David Brooks,45,19,78,1121
Jesse Stevenson,36,4,68,1297
Sarah Keller,37,25,69,1124
Dana Delacruz,50,5,7,1064
Thomas Chung,30,1,69,1215
Aaron Irwin,44,40,20,788
James Bennett,58,72,11,717
Nicole Elliott,23,31,66,985
Danielle Medina,51,33,12,586
James James,31,79,45,1143
Michael Brown,29,19,38,956
Sheila Alexander,35,48,44,510
Rachel Carpenter,35,12,46,495
Deborah Gonzalez,46,48,34,660
Christine Tyler,54,1,18,547
Marc Castillo,50,75,80,615
Jimmy Johnson,52,0,69,855
John Green,55,23,21,470
Linda Willis,25,17,14,532
Marcus Cohen,24,75,11,1083
Raymond White,42,57,70,1174
Sarah Rodriguez,26,18,47,852
Karen Haley,30,0,7,900
Michael Vazquez,30,62,18,650
Jonathan Howard,43,38,78,701
Maria Robertson,44,77,42,565
Tracey Lucas,26,15,13,1067
Jacob Whitehead,30,31,25,485
Jason Davis,35,59,56,922
Vincent Perez,43,54,58,1132
Kristin Jones,24,63,28,1121
Jessica Jones,23,31,23,903
Lindsey Robles,22,77,53,1230
Charles Thomas,44,33,1,1026
Erin Hughes,26,47,0,624
Jennifer Gray,44,67,35,1038
Dr. Kathleen Anderson MD,32,0,29,1180
Kayla Fitzpatrick,39,42,8,1169
Daisy Bailey,54,77,43,999
Jennifer Myers,39,56,66,678
Angela Williams,19,50,63,529
Angelica Smith,31,70,68,848
Jessica King,25,45,17,495
Steven Bautista,54,37,29,463
Charles Young,42,21,17,511
Eric Cox,55,20,72,739
Christopher Aguilar,54,39,25,780
Amanda Stewart,54,77,58,514
Gerald Gardner,59,16,53,1064
Willie Brown,40,29,42,1292
Melissa Ross,48,22,6,1198
Jennifer Torres,33,49,72,516
Gregory Holmes,52,7,80,1174
Stacy Dixon,55,53,24,642
Albert Garrett,60,7,4,862
Gregory Mcgrath,25,39,17,1059
Joseph Hutchinson,57,75,4,1275
Jill Schmidt,58,3,47,744
Kristina Dean,43,42,53,1144
Richard Morrison,50,48,12,1211
Jacob Morse,50,15,13,593
Zoe Terry,55,41,58,718
Heather Shah,32,31,57,625
Paul Miller,36,39,50,691
Tony Watkins,19,76,20,600
James Knight,52,4,78,1220
Jeffrey Holland,38,35,37,539
Samantha Simon,20,9,80,997
Tammie Carter,31,52,6,888
Paul Perez,53,42,2,1033
Susan Diaz,34,24,53,1270
John Ellis,60,77,30,557
Cindy Stout,52,47,22,615
James Serrano,21,9,73,872
Michelle Burns,35,43,10,707
Cassandra Edwards,31,23,77,1110
Joan Vazquez,26,22,61,874
Steve Mccoy,22,45,80,475
Vincent Ewing,30,24,67,669
Jessica Matthews,30,64,8,1153
Cody Lynch,53,42,11,959
Jordan Moore MD,19,19,12,1235
Brian Leon,37,12,58,1133
Kimberly Hodge,25,26,45,1187
Melissa Hays,44,7,60,1117
Jonathan Warner,19,52,9,1267
Thomas Ortiz,43,38,73,463
James Lyons,53,35,8,682
Jacob Robinson,57,17,45,636
Laura Mcpherson,38,40,7,1204
Kyle Hardy,25,59,22,795
Tammy Tucker,48,77,24,879
David Braun,27,18,37,697
Michele Hughes,27,3,7,1197
Stacy Hernandez,51,3,35,580
Amy Young,49,7,25,574
Megan Nelson,27,44,15,834
Bradley Davis,22,13,73,1180
Tammie Johnson,43,17,40,1094
Michael Scott MD,24,56,50,887
Colin Franklin,42,67,48,681
Joshua Hansen,52,78,64,1040
Ryan Rivas,19,61,6,480
Joseph Cooper,18,34,22,1178
Rodney Torres,54,38,53,864
Stephanie Fisher,34,12,60,867
Timothy Cowan,35,61,13,734
Justin Warren,60,16,32,721
Mr. Jason Garcia,32,24,58,1272
Nathan Osborne,39,29,8,829
Megan Watson,47,17,41,715
Mary Harrell,50,78,1,496
Heather Rocha,29,54,67,1026
Mark Myers,36,69,23,1062
Philip Murphy,31,80,46,1035
William Crawford,18,63,19,880
Kristina Acosta,55,46,74,742
Kevin Goodwin,59,21,37,537
Samantha Gomez,49,38,9,586
Brian Thomas,48,5,58,1012
Charles Martin,52,36,35,474
Mr. David Campbell,49,28,80,483
Manuel Lowe,40,46,16,1217
Gregory Johnston,53,52,44,533
Jill Martin,42,38,54,1023
Patrick Horton,53,10,58,1081
Michael Martinez,52,11,34,712
Hannah Harrington,20,38,74,1045
Timothy Jones,38,58,10,475
Heather Johnson,39,31,34,540
Ryan Smith,45,74,20,762
Christine Lewis,53,20,51,760
Cynthia King,59,29,9,834
Christopher Miller,29,55,9,1293
Kathleen Crosby,48,54,44,1046
Jacob Morgan,54,31,44,646
William Cooper,49,58,80,984
Krystal Campbell,41,51,45,834
Ryan Rush DVM,36,46,76,1287
Jeremy Thornton,23,42,70,1052
Mark Martin,49,42,18,705
John Landry,25,60,50,1214
Michele Brown,52,53,73,965
Kristen Meyer,23,36,42,783
Robert Thornton,39,72,72,457
Scott Baker,51,41,52,1217
David Matthews,35,64,27,934
Jennifer Carpenter,34,54,29,548
Matthew Johnson,24,32,24,469
Abigail Williams,30,66,37,787
Julie Castillo,42,63,51,1232
Mrs. Anna Andrews MD,42,2,42,1254
John Jones,32,14,43,1015
Julie Duncan,52,77,7,1256
Cameron Crawford,56,25,40,936
Abigail Harris,47,80,39,752
William Dickerson,53,55,36,631
Maria Williamson,42,73,59,746
Harold Reed,24,16,46,528
Ms. Natalie Gallagher,34,46,66,813
Jeanette Sutton,60,20,80,975
Janet Sullivan,22,2,18,527
Taylor Nichols,51,56,80,819
William Jones,60,41,64,522
Chad Kelly,60,33,12,488
Kayla Thomas,33,10,4,1035
Austin Sandoval,32,73,73,701
Sydney Blake,52,18,26,844
Megan Smith,54,6,76,1184
Ernest Curtis,42,14,48,647
James Hicks,19,36,55,718
Elijah Morris,42,9,80,640
John Trevino,46,28,55,1012
Debra Holland,53,55,44,667
Mark Stokes,51,40,75,619
Jennifer Heath,31,54,6,829
Yvette Duncan,49,50,79,1120
Ashley Thomas,57,16,37,1273
Eric Sampson,23,42,43,917
Donald Flores,30,57,0,1080
Joseph Reynolds,21,72,6,557
Mr. William Miller,60,22,23,754
Colton Smith,57,37,74,839
Gabriel Reeves,37,69,67,873
Jasmine Guzman,51,7,8,1172
Denise Daniels,23,70,41,1251
Mary Snow,33,30,40,746
Kevin Flores,24,54,68,840
Heather Parker,58,45,4,1057
James Young,55,23,76,1237
Tara Kelley,31,11,41,1036
Brittany Martin,42,34,20,546
Shane Patterson,33,79,48,818
Joshua Castillo,44,10,69,1035
Nathan Benton,23,26,50,549
Eric Hopkins,24,11,2,652
Matthew Aguirre,36,43,2,804
Travis Hayes,22,37,69,627
Brian Harrington,42,9,57,833
Eric Kim,38,15,5,629
Trevor Hayden,51,5,11,522
Michael Bauer,38,5,78,611
Albert Jennings,31,67,20,484
Kevin Mcconnell,45,27,10,971
Gail Lane,38,19,10,822
Mary Acosta,32,58,1,1180
Valerie Reed,52,65,54,568
Rebecca Mcneil,56,4,29,473
Stephen Mcdaniel,23,75,69,1119
Joyce Mitchell,50,18,72,608
Linda Henderson,29,61,38,761
John Deleon,25,73,36,1273
John Andersen,20,79,73,1102
Sandra Shepherd MD,54,9,1,964
Tina Wilson,50,3,53,667
Ricky Williams,25,48,10,634
Janet King,47,70,54,701
Sean Harris,56,26,5,858
Susan Maldonado,34,31,21,1196
Tracy Saunders,29,0,72,1059
Kenneth Lindsey,31,34,1,522
Steven Goodwin,26,66,51,838
Michelle Lopez,51,51,29,647
Brett Johnson,21,77,11,1277
Alicia Tran,38,73,8,1023
Tonya Norris,43,12,45,1235
Aaron Bond,49,43,59,773
Jessica Lee,60,72,53,490
Brian Reynolds,49,36,75,959
Kevin Jackson,31,19,77,1103
Penny Kerr,45,7,53,1145
Kimberly Harris,48,8,5,1013
Jasmin Aguirre,20,9,57,605
Brandon Lloyd,51,15,50,1049
Donald Riggs,38,16,47,803
Christine Phillips,46,39,44,705
Dr. Kimberly Roberts,59,61,36,483
Zachary Brown,53,40,70,818
Monica Jones,39,45,78,880
Jesse York,24,35,50,939
Melanie Aguilar,25,23,26,1245
Richard Bishop,55,72,44,1018
Victoria Thompson,34,16,15,1035
Adrian Miller,58,43,67,1026
Caleb Wilson,41,62,55,974
John Rogers,25,53,7,501
Jennifer Solis,24,51,33,461
Steven Gordon,48,69,72,940
Joseph Lewis,34,9,0,687
Brenda Butler,38,30,62,1030
Shannon Gilbert,25,15,64,835
Bailey Cherry,29,19,2,735
Kenneth Chandler,23,40,54,1215
Arthur Lewis,23,23,35,950
Keith Smith,32,39,44,1181
Natalie Jones,56,9,69,1167
Stephen Knight,36,37,44,581
Virginia Ramos,53,23,72,693
Brandon Thompson,56,25,7,603
Jordan Harris,30,11,57,666
Steven Raymond,18,11,60,742
Christopher Stewart,20,65,2,1251
Kimberly Hampton,46,32,23,821
Mark Moore,47,49,8,1132
Laura Velez,25,15,11,1141
Kevin Farmer,39,52,55,1172
Shelley Rios,29,30,13,539
Megan Parrish,18,35,69,1104
Christopher Petersen,21,63,76,908
Abigail Wolf,40,68,5,980
Erica Wright,31,41,54,559
Brooke Evans,27,6,15,819
Madison Lewis,52,59,53,568
Andrew Mcgee,22,52,1,1084
Heather Jones,41,48,57,960
Thomas Wilcox,25,9,41,874
Jay Perez,34,69,11,916
Ethan Romero,43,19,77,712
Amanda Williams,52,32,20,501
Troy Shepard,51,76,12,1210
Denise Nguyen,53,63,58,475
Brian Carlson,44,47,54,752
Jordan Jackson,59,36,2,820
Barbara Bray,43,5,63,827
Martin Phelps,47,57,52,685
Chloe Gonzalez,37,68,23,972
Craig Long,42,70,26,644
Judy Wilson,21,3,57,755
Kristen Hill,42,8,73,775
Charles Brown,50,39,57,915
Kathryn Tucker,55,58,78,635
Brooke Doyle,52,22,16,1252
David Green,53,64,4,1182
David Cabrera,20,20,44,1031
David Foster,25,44,46,591
Madison Green,34,13,57,536
Garrett Johnson,20,58,42,887
Cathy Fernandez,46,13,47,1298
James Mathis,45,59,51,1019
Catherine Lester,31,46,24,1156
Kelly Estes,51,34,48,1208
Samantha Griffin,22,57,14,450
Jennifer Raymond,31,47,56,1021
Katherine Mullins,22,71,63,1062
Daniel Garrett,57,0,11,903
Rebecca Ray,27,11,41,680
William Moore,23,23,7,497
Bianca Peterson,43,63,21,944
Brian Beard,34,66,5,524
Randy Pierce,33,23,72,895
Kevin Graham,47,48,13,930
Christine Henderson,30,30,58,604
William Carpenter,19,68,44,506
William Fleming,57,53,52,1176
Brittany Morales,38,67,69,628
Angela Hoover,39,17,31,876
Sandra Parker,50,38,19,467
Gabrielle Floyd,59,61,50,1040
Gina Clark,56,25,72,1169
Michael Harrison,54,43,41,460
Robert Pearson,35,41,55,457
Michael Ramirez,52,56,14,1287
Laura Reed,48,73,42,704
Tracy Jones,30,11,9,1104
Brian Carter,18,49,48,973
Joshua Smith,52,43,66,647
Daisy Saunders,59,21,79,658
Anna Reed,38,26,70,493
James Davis,32,11,21,743
Abigail Maldonado,30,41,42,1143
Andrea Adams,24,62,30,911
Paul Crosby,34,76,3,1057
Christine Lopez,50,42,60,634
Kathy Palmer,20,13,37,1266
Jose Ibarra,44,33,26,578
Rebecca Figueroa,21,62,41,1032
Beth Henderson,45,60,66,1054
Brittany Anderson,28,53,37,600
Devin Terry,36,26,30,1267
Nathan Wright,38,30,61,882
Alison Carter,41,52,23,889
Scott Lewis,30,71,9,1126
Christopher Duncan,38,18,2,621
Christopher Sharp,56,0,6,1219
Amanda Roberts,45,45,66,559
Matthew May,40,77,75,1036
Michael Lopez,31,49,80,1071
Stacey Walker,54,34,28,1248
Dana Hunt,39,66,35,1270
Shannon Hart,43,74,32,1009
Mary Duffy,54,42,49,1202
Patrick Robbins,52,34,55,1025
Sophia Williams,38,33,17,787
Michael Jensen,44,77,23,919
Yvonne Walsh,24,19,13,1134
Gabriel Tran,25,57,34,1059
Jill Thomas,57,29,18,817
Katherine Mahoney,30,63,1,669
Kyle Jenkins,31,65,67,586
Douglas Elliott,58,53,22,513
Jeffrey Taylor,27,16,11,894
Kenneth Wright,32,35,31,795
Colleen Burns,54,60,53,1033
Ashley Kelley,28,67,56,603
Julia Wilson,48,26,29,891
Gregg Davis,49,50,46,1102
David Ford,36,46,6,853
Shannon Mack,38,62,29,616
Bradley Carter,49,21,52,463
Joshua Cummings,24,46,50,558
Diane Bruce,36,67,66,633
Christopher Ware,32,20,53,908
Vincent Edwards,34,21,73,630
Colleen Schroeder,41,1,26,617
Steven Mccoy,50,78,69,1058
Patrick Willis,42,12,57,518
Kimberly Rosario,48,17,73,1022
Teresa Brown,43,47,72,1018
Jennifer Allen,19,30,68,784
Amanda Reese,54,74,57,901
Rebecca James,31,71,7,1214
Alexander Holden,39,37,29,1077
Casey Carroll,38,46,12,510
Michael Carter,49,56,19,983
Jeremy Wilson,22,42,59,873
Deborah Davis,36,16,77,1210
Matthew Allen,44,37,29,849
Connie Howell,29,77,2,675
Summer Rios,50,30,59,1134
Cynthia Long,26,61,54,1053
Kelly Hernandez,53,37,0,1011
Katelyn Jones,59,4,43,1237
Shirley Williams,51,47,41,989
Ronald Harmon,56,61,79,1078
Phyllis Prince,60,27,50,1102
Brandon Hoffman,54,71,22,864
Teresa Brown,31,59,47,775
Jason Benson,46,32,11,1097
Philip Gutierrez,28,62,1,716
Michelle Burns,47,25,6,1058
Joshua Cortez,35,76,45,531
Andrea Oconnell,18,4,14,1224
Gerald Knox,37,49,76,1058
Charles Kim,45,16,45,571
Jason Humphrey,41,11,46,910
John Collins,45,45,68,582
Timothy Weber,29,11,32,1068
Sherry Hines,59,9,27,1262
Frank Bird,56,32,57,959
Michael Grant,38,59,69,1057
Nathan Perez,30,11,49,756
Patricia Ramirez,30,68,0,695
Warren Sexton,55,8,57,464
Christopher Williams,30,65,63,456
David Summers,30,45,39,688
Robert Bryant,56,38,63,665
Joanne Harrison,52,39,47,792
Mark Travis,41,45,72,1206
Jordan Miller,47,69,55,822
Kayla Castro,35,76,2,712
Susan Paul,44,73,54,829
Sandra Scott,21,6,50,645
Daniel Miller,58,39,18,537
